id,created_at,from_user_name,from_user_id,from_user_realname,party,region,text,Unnamed: 0,question,answer,workerid,assignment_id,status
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",1903,q_20829905,democrat,A35BY30TC8WCL4,3HUTX6F6VA2O3XYIMW2UE8PUJNGO20,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",1957,q_20829905,democrat,A3OZ8KF0HWSVWK,3YDGXNSEOF9VLJQPJTWMA1WSOWH48I,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",2011,q_20829905,democrat,A3OLRWACCCCUTU,3F6HPJW4JTFW867KDIT4V22GMP12WC,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",2065,q_20829905,republican,A31Z5TPD8QKE26,3ZPBJO59K5G1EQABF8RLQIJX4SDHD0,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",2119,q_20829905,democrat,AR1IWBDA7MC86,3M0NZ3JDPHDS1YVC6OF9SDZAN205ZC,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",316,q_20829905,democrat,A2IOT3PCS9G5RK,3TXMY6UCAU34MR30Y2J4FQTGA7PQCH,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",370,q_20829905,democrat,A3OZ8KF0HWSVWK,3WEV0KO0O27Q4ZORQ23KUWQZDW0DS9,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",424,q_20829905,democrat,A22KRF782ELLB0,3TVRFO09G0UHYSYIXT7VCHFW1K5LX6,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",478,q_20829905,democrat,A3OLRWACCCCUTU,3VNXK88KKSXUT1SE8H3NJNRGLFKV9K,Approved
20829905,2020-09-10 20:15:44,Sen_JoeManchin,234374703,Senator Joe Manchin,Democrat,WV,"The @USPS is the only carrier that delivers to every address in the country – ensuring millions of Americans receive their prescriptions, critical supplies, business mail, and more. Politics should never get in the way of delivering Americans' mail on time. #DontMessWithUSPS",532,q_20829905,democrat,A2ELXYKRPPGRPB,31LM9EDVO176R8WES289Y0B6VH0NJW,Approved
22076215,2020-10-31 14:31:25,SenJeffMerkley,29201047,Senator Jeff Merkley,Democrat,OR,"Covid relief is critical to helping families. It’s also about ensuring that state &amp; local governments have the resources to get this pandemic under control. There’s no back to ‘normal’ until states have the resources they need to get safe, effective vaccines out to communities.",1660,q_22076215,democrat,A2IQ0QCTQ3KWLT,3L70J4KAZW1M432X92HT9WWTRX2DA0,Approved
